publication_number,cosine_distance,cosine_similarity
JP-S5040817-Y1,0.0,1.0
JP-S5128581-Y1,0.0,1.0
JP-S4746763-B1,0.0,1.0
JP-S5535485-B1,0.0,1.0
JP-S505543-B1,0.0,1.0
JP-S4712348-Y1,0.0,1.0
JP-S4835979-B1,0.0,1.0
JP-S4819296-B1,0.0,1.0
JP-S456537-Y1,0.0,1.0
JP-S4837154-B1,0.0,1.0
JP-S493643-Y1,0.0,1.0
JP-S5034990-Y1,0.0,1.0
JP-S502546-Y1,0.0,1.0
JP-S4912419-B1,0.0,1.0
JP-S5017276-B1,0.0,1.0
JP-S495120-B1,0.0,1.0
JP-S4919811-Y1,0.0,1.0
JP-S4817169-Y1,0.0,1.0
JP-S4949383-B1,0.0,1.0
JP-S4835357-Y1,0.0,1.0
JP-S493222-B1,0.0,1.0
JP-S501807-B1,0.0,1.0
JP-S4823415-Y1,0.0,1.0
JP-S4910951-Y1,0.0,1.0
JP-S498142-B1,0.0,1.0
JP-S4915340-B1,0.0,1.0
JP-S5018754-B1,0.0,1.0
JP-S509580-Y1,0.0,1.0
JP-S4835504-B1,0.0,1.0
JP-S5029519-Y1,0.0,1.0
JP-S4940512-B1,0.0,1.0
JP-S503438-B1,0.0,1.0
JP-S5022030-B1,0.0,1.0
JP-S4820504-B1,0.0,1.0
JP-S507162-B1,0.0,1.0
JP-S4820603-Y1,0.0,1.0
JP-S4915606-B1,0.0,1.0
JP-S491750-Y1,0.0,1.0
JP-S4732000-B1,0.0,1.0
JP-S495517-B1,0.0,1.0
JP-S4929519-Y1,0.0,1.0
JP-S4629929-Y1,0.0,1.0
JP-S4914166-Y1,0.0,1.0
JP-S4833899-Y1,0.0,1.0
JP-S4917203-Y1,0.0,1.0
JP-S4731033-Y1,0.0,1.0
JP-S482388-Y1,0.0,1.0
JP-S4729098-Y1,0.0,1.0
JP-S4740404-Y1,0.0,1.0
JP-S4832474-Y1,0.0,1.0
JP-S5010904-B1,0.0,1.0
JP-S4935321-Y1,0.0,1.0
JP-S5010269-Y1,0.0,1.0
JP-S4617793-Y1,0.0,1.0
JP-S5023657-Y1,0.0,1.0
JP-S4733449-Y1,0.0,1.0
JP-S497302-B1,0.0,1.0
JP-S509650-B1,0.0,1.0
JP-S502558-B1,0.0,1.0
JP-S5462-Y1,0.0,1.0
JP-S5029505-Y1,0.0,1.0
JP-S5322895-Y1,0.0,1.0
JP-S4925515-B1,0.0,1.0
JP-S4944093-B1,0.0,1.0
JP-S513483-Y1,0.0,1.0
JP-S4824152-B1,0.0,1.0
JP-S4931296-B1,0.0,1.0
JP-S491527-Y1,0.0,1.0
JP-S4941916-B1,0.0,1.0
JP-S4913397-Y1,0.0,1.0
JP-S4812234-B1,0.0,1.0
JP-S4827754-B1,0.0,1.0
JP-S495688-Y1,0.0,1.0
JP-S4737585-Y1,0.0,1.0
JP-S4829839-B1,0.0,1.0
JP-S5128902-Y1,0.0,1.0
JP-S4923217-B1,0.0,1.0
JP-S5022009-B1,0.0,1.0
JP-S4912967-B1,0.0,1.0
JP-S4815855-B1,0.0,1.0
JP-S5036882-Y1,0.0,1.0
JP-S487159-Y1,0.0,1.0
JP-S5024052-B1,0.0,1.0
JP-S4836075-Y1,0.0,1.0
JP-S5022047-B1,0.0,1.0
JP-S4833840-B1,0.0,1.0
JP-S4915737-B1,0.0,1.0
JP-S5152011-Y1,0.0,1.0
JP-S5010634-Y1,0.0,1.0
JP-S4812076-B1,0.0,1.0
JP-S5131934-B1,0.0,1.0
JP-S546023-Y1,0.0,1.0
JP-S4932124-Y1,0.0,1.0
JP-S5126804-B1,0.0,1.0
JP-S4921916-B1,0.0,1.0
JP-S4820206-B1,0.0,1.0
JP-S4827042-B1,0.0,1.0
JP-S4716550-Y1,0.0,1.0
JP-S4939554-B1,0.0,1.0
JP-S499568-B1,0.0,1.0
JP-S4820686-B1,0.0,1.0
JP-S491698-Y1,0.0,1.0
JP-S4833824-B1,0.0,1.0
JP-S5124936-B1,0.0,1.0
JP-S4937564-B1,0.0,1.0
JP-S5028083-B1,0.0,1.0
JP-S4924602-B1,0.0,1.0
JP-S481189-Y1,0.0,1.0
JP-S5022386-B1,0.0,1.0
JP-S4743026-Y1,0.0,1.0
JP-S4835106-B1,0.0,1.0
JP-S4836915-B1,0.0,1.0
JP-S5113362-Y1,0.0,1.0
JP-S5014110-B1,0.0,1.0
JP-S4916989-B1,0.0,1.0
JP-S5347956-Y1,0.0,1.0
JP-S4919375-Y1,0.0,1.0
JP-S4734440-Y1,0.0,1.0
JP-S4819773-B1,0.0,1.0
JP-S4943473-Y1,0.0,1.0
JP-S4825540-B1,0.0,1.0
JP-S4821775-B1,0.0,1.0
JP-S4920354-B1,0.0,1.0
JP-S493100-B1,0.0,1.0
JP-S5023112-Y1,0.0,1.0
JP-S4838092-B1,0.0,1.0
JP-S4922756-Y1,0.0,1.0
JP-S4811484-Y1,0.0,1.0
JP-S4822957-B1,0.0,1.0
JP-S4624371-Y1,0.0,1.0
JP-S4811652-Y1,0.0,1.0
JP-S4718085-Y1,0.0,1.0
JP-S513261-Y1,0.0,1.0
JP-S4920433-Y1,0.0,1.0
JP-S4915569-Y1,0.0,1.0
JP-S5220701-B1,0.0,1.0
JP-S4927128-Y1,0.0,1.0
JP-S497285-Y1,0.0,1.0
JP-S4921701-Y1,0.0,1.0
JP-S489263-Y1,0.0,1.0
JP-S4935996-Y1,0.0,1.0
JP-S4928430-Y1,0.0,1.0
JP-S4836596-Y1,0.0,1.0
JP-S5020720-Y1,0.0,1.0
JP-S493862-B1,0.0,1.0
JP-S4522615-Y1,0.0,1.0
JP-S5027144-B1,0.0,1.0
JP-S4520075-Y1,0.0,1.0
JP-S4823192-B1,0.0,1.0
JP-S4814112-Y1,0.0,1.0
JP-S492299-Y1,0.0,1.0
JP-S4715107-Y1,0.0,1.0
JP-S4816640-Y1,0.0,1.0
JP-S5151201-Y1,0.0,1.0
JP-S4937627-Y1,0.0,1.0
JP-S4811333-Y1,0.0,1.0
JP-S5130409-B1,0.0,1.0
JP-S506159-B1,0.0,1.0
JP-S4943554-B1,0.0,1.0
JP-S50961-Y1,0.0,1.0
JP-S4915006-B1,0.0,1.0
JP-S4739338-Y1,0.0,1.0
JP-S5139553-Y1,0.0,1.0
JP-S5027032-Y1,0.0,1.0
JP-S5013939-Y1,0.0,1.0
JP-S5120909-B1,0.0,1.0
JP-S4912051-B1,0.0,1.0
JP-S4816560-Y1,0.0,1.0
JP-S4830365-B1,0.0,1.0
JP-S4948389-B1,0.0,1.0
JP-S498391-B1,0.0,1.0
JP-S5144630-B1,0.0,1.0
JP-S4814132-Y1,0.0,1.0
JP-S5328737-B1,0.0,1.0
JP-S4844639-Y1,0.0,1.0
JP-S4942661-Y1,0.0,1.0
JP-S4913935-B1,0.0,1.0
JP-S49304-B1,0.0,1.0
JP-S4633348-Y1,0.0,1.0
JP-S4823324-B1,0.0,1.0
JP-S4836274-Y1,0.0,1.0
JP-S4823263-Y1,0.0,1.0
JP-S4938679-B1,0.0,1.0
JP-S4843349-B1,0.0,1.0
JP-S4735035-Y1,0.0,1.0
JP-S4934723-Y1,0.0,1.0
JP-S4826567-Y1,0.0,1.0
JP-S4810727-Y1,0.0,1.0
JP-S5035668-B1,0.0,1.0
JP-S4822213-B1,0.0,1.0
JP-S492911-B1,0.0,1.0
JP-S4926572-B1,0.0,1.0
JP-S4815939-Y1,0.0,1.0
JP-S482364-Y1,0.0,1.0
JP-S4715866-Y1,0.0,1.0
JP-S5011659-Y1,0.0,1.0
JP-S4727244-Y1,0.0,1.0
JP-S4912187-B1,0.0,1.0
JP-S4926476-Y1,0.0,1.0
JP-S491892-Y1,0.0,1.0
JP-S5010201-B1,0.0,1.0
JP-S4839832-Y1,0.0,1.0
JP-S4838699-Y1,0.0,1.0
JP-S494201-Y1,0.0,1.0
JP-S4923933-B1,0.0,1.0
JP-S4831410-B1,0.0,1.0
JP-S5027192-B1,0.0,1.0
JP-S4930879-Y1,0.0,1.0
JP-S507987-Y1,0.0,1.0
JP-S4842471-Y1,0.0,1.0
JP-S4825025-B1,0.0,1.0
JP-S4836587-B1,0.0,1.0
JP-S5013942-B1,0.0,1.0
JP-S4636273-Y1,0.0,1.0
JP-S4815304-B1,0.0,1.0
JP-S5314134-Y1,0.0,1.0
JP-S4915077-Y1,0.0,1.0
JP-S526752-Y1,0.0,1.0
JP-S4810748-Y1,0.0,1.0
JP-S5218170-B1,0.0,1.0
JP-S4913200-B1,0.0,1.0
JP-S4828912-B1,0.0,1.0
JP-S509025-Y1,0.0,1.0
JP-S5412489-B1,0.0,1.0
JP-S5343856-B1,0.0,1.0
JP-S487594-Y1,0.0,1.0
JP-S5016352-B1,0.0,1.0
JP-S4943530-B1,0.0,1.0
JP-S5017695-B1,0.0,1.0
JP-S4723299-Y1,0.0,1.0
JP-S4812916-Y1,0.0,1.0
JP-S4831460-Y1,0.0,1.0
JP-S4827991-Y1,0.0,1.0
JP-S492342-B1,0.0,1.0
JP-S5142879-B1,0.0,1.0
JP-S5438906-Y1,0.0,1.0
JP-S5020045-B1,0.0,1.0
JP-S5212710-Y1,0.0,1.0
JP-S491702-Y1,0.0,1.0
JP-S4740457-Y1,0.0,1.0
JP-S501637-B1,0.0,1.0
JP-S4913493-B1,0.0,1.0
JP-S4520210-Y1,0.0,1.0
JP-S4921506-Y1,0.0,1.0
JP-S4721027-B1,0.0,1.0
JP-S4730691-Y1,0.0,1.0
JP-S4840546-B1,0.0,1.0
JP-S4837821-Y1,0.0,1.0
JP-S4823003-Y1,0.0,1.0
JP-S4621597-Y1,0.0,1.0
JP-S531762-Y1,0.0,1.0
JP-S458548-Y1,0.0,1.0
JP-S495977-Y1,0.0,1.0
JP-S4822823-Y1,0.0,1.0
JP-S4920485-Y1,0.0,1.0
JP-S4828081-Y1,0.0,1.0
JP-S4932184-Y1,0.0,1.0
JP-S4834350-B1,0.0,1.0
JP-S4816918-B1,0.0,1.0
JP-S4726960-Y1,0.0,1.0
JP-S4949396-B1,0.0,1.0
JP-S4813849-Y1,0.0,1.0
JP-S5016624-Y1,0.0,1.0
JP-S4714839-Y1,0.0,1.0
JP-S4822028-B1,0.0,1.0
JP-S505595-B1,0.0,1.0
JP-S4731146-Y1,0.0,1.0
JP-S4810762-Y1,0.0,1.0
JP-S485465-Y1,0.0,1.0
JP-S495578-Y1,0.0,1.0
JP-S4842984-B1,0.0,1.0
JP-S496253-Y1,0.0,1.0
JP-S4636483-Y1,0.0,1.0
JP-S4922038-B1,0.0,1.0
JP-S4620442-Y1,0.0,1.0
JP-S4924918-B1,0.0,1.0
JP-S4939840-B1,0.0,1.0
JP-S4911587-Y1,0.0,1.0
JP-S5013743-B1,0.0,1.0
JP-S4945042-B1,0.0,1.0
JP-S4835518-Y1,0.0,1.0
JP-S502012-Y1,0.0,1.0
JP-S4931237-B1,0.0,1.0
JP-S5115972-Y1,0.0,1.0
JP-S4940210-B1,0.0,1.0
JP-S4837768-Y1,0.0,1.0
JP-S495362-Y1,0.0,1.0
JP-S4734166-Y1,0.0,1.0
JP-S4826589-Y1,0.0,1.0
JP-S4931866-B1,0.0,1.0
JP-S5015884-B1,0.0,1.0
JP-S4633337-Y1,0.0,1.0
JP-S4936553-B1,0.0,1.0
JP-S4840474-Y1,0.0,1.0
JP-S485532-Y1,0.0,1.0
JP-S4812513-Y1,0.0,1.0
JP-S519728-B1,0.0,1.0
JP-S5025576-B1,0.0,1.0
JP-S4928882-Y1,0.0,1.0
JP-S4735391-Y1,0.0,1.0
JP-S4811297-Y1,0.0,1.0
JP-S4734915-Y1,0.0,1.0
JP-S4843394-Y1,0.0,1.0
JP-S4922341-B1,0.0,1.0
JP-S5012353-Y1,0.0,1.0
JP-S4928048-Y1,0.0,1.0
JP-S499662-B1,0.0,1.0
JP-S514970-B1,0.0,1.0
JP-S4818961-B1,0.0,1.0
JP-S4631442-Y1,0.0,1.0
JP-S5025401-B1,0.0,1.0
JP-S495802-Y1,0.0,1.0
JP-S4723324-Y1,0.0,1.0
JP-S495061-Y1,0.0,1.0
JP-S479061-Y1,0.0,1.0
JP-S4843083-B1,0.0,1.0
JP-S4936866-Y1,0.0,1.0
JP-S4716044-Y1,0.0,1.0
JP-S5132922-B1,0.0,1.0
JP-S4915207-B1,0.0,1.0
JP-S4833501-B1,0.0,1.0
JP-S4617839-Y1,0.0,1.0
JP-S4926696-B1,0.0,1.0
JP-S4831482-Y1,0.0,1.0
JP-S502437-Y1,0.0,1.0
JP-S4946402-B1,0.0,1.0
JP-S4927359-Y1,0.0,1.0
JP-S4844980-B1,0.0,1.0
JP-S504453-Y1,0.0,1.0
JP-S4822349-B1,0.0,1.0
JP-S483246-Y1,0.0,1.0
JP-S5022047-Y1,0.0,1.0
JP-S4833830-B1,0.0,1.0
JP-S508212-B1,0.0,1.0
JP-S5131427-B1,0.0,1.0
JP-S5110453-B1,0.0,1.0
JP-S483226-Y1,0.0,1.0
JP-S4844362-B1,0.0,1.0
JP-S5137038-B1,0.0,1.0
JP-S524996-B1,0.0,1.0
JP-S5222320-Y1,0.0,1.0
JP-S4826280-B1,0.0,1.0
JP-S4729891-Y1,0.0,1.0
JP-S553323-B1,0.0,1.0
JP-S4922637-Y1,0.0,1.0
JP-S5043052-Y1,0.0,1.0
JP-S5512378-B1,0.0,1.0
JP-S4621958-Y1,0.0,1.0
JP-S526634-Y1,0.0,1.0
JP-S4915807-B1,0.0,1.0
JP-S5027123-Y1,0.0,1.0
JP-S4935088-B1,0.0,1.0
JP-S4931398-Y1,0.0,1.0
JP-S5429731-B1,0.0,1.0
JP-S4719557-Y1,0.0,1.0
JP-S4925794-B1,0.0,1.0
JP-S5121549-Y1,0.0,1.0
JP-S5024566-Y1,0.0,1.0
JP-S4636713-Y1,0.0,1.0
JP-S508304-B1,0.0,1.0
JP-S4933384-B1,0.0,1.0
JP-S5016996-B1,0.0,1.0
JP-S4840250-B1,0.0,1.0
JP-S498330-B1,0.0,1.0
JP-S4837260-B1,0.0,1.0
JP-S50640-B1,0.0,1.0
JP-S4827652-Y1,0.0,1.0
JP-S4522331-Y1,0.0,1.0
JP-S5236013-B1,0.0,1.0
JP-S4630290-Y1,0.0,1.0
JP-S4835722-Y1,0.0,1.0
JP-S502947-Y1,0.0,1.0
JP-S49719-Y1,0.0,1.0
JP-S5328163-Y1,0.0,1.0
JP-S4831237-Y1,0.0,1.0
JP-S5015413-B1,0.0,1.0
JP-S4919584-B1,0.0,1.0
JP-S5030660-B1,0.0,1.0
JP-S5111220-B1,0.0,1.0
JP-S5128095-Y1,0.0,1.0
JP-S4829242-Y1,0.0,1.0
JP-S5134322-B1,0.0,1.0
JP-S4713370-Y1,0.0,1.0
JP-S4822950-B1,0.0,1.0
JP-S454481-Y1,0.0,1.0
JP-S5027196-B1,0.0,1.0
JP-S4820016-B1,0.0,1.0
JP-S4819382-B1,0.0,1.0
JP-S5128126-B1,0.0,1.0
JP-S5110569-Y1,0.0,1.0
JP-S4835362-Y1,0.0,1.0
JP-S5134260-Y1,0.0,1.0
JP-S4813880-Y1,0.0,1.0
JP-S4814053-Y1,0.0,1.0
JP-S4812735-Y1,0.0,1.0
JP-S4920917-Y1,0.0,1.0
JP-S4817198-B1,0.0,1.0
JP-S509436-B1,0.0,1.0
JP-S509514-B1,0.0,1.0
JP-S5026802-B1,0.0,1.0
JP-S4934474-Y1,0.0,1.0
JP-S495742-Y1,0.0,1.0
JP-S4815452-B1,0.0,1.0
JP-S502150-B1,0.0,1.0
JP-S477549-Y1,0.0,1.0
JP-S4837875-B1,0.0,1.0
JP-S4817604-B1,0.0,1.0
JP-S4919697-Y1,0.0,1.0
JP-S4825023-Y1,0.0,1.0
JP-S4931709-Y1,0.0,1.0
JP-S4811000-B1,0.0,1.0
JP-S5114510-B1,0.0,1.0
JP-S5110557-Y1,0.0,1.0
JP-S499268-B1,0.0,1.0
JP-S4935450-Y1,0.0,1.0
JP-S5030864-Y1,0.0,1.0
JP-S5113995-B1,0.0,1.0
JP-S5539651-B1,0.0,1.0
JP-S4947292-B1,0.0,1.0
JP-S5119235-Y1,0.0,1.0
JP-S5014264-Y1,0.0,1.0
JP-S4840944-Y1,0.0,1.0
JP-S537662-B1,0.0,1.0
JP-S492649-Y1,0.0,1.0
JP-S4821858-Y1,0.0,1.0
JP-S4817498-Y1,0.0,1.0
JP-S5114709-B1,0.0,1.0
JP-S4828204-B1,0.0,1.0
JP-S4628252-Y1,0.0,1.0
JP-S4921688-Y1,0.0,1.0
JP-S4924321-B1,0.0,1.0
JP-S506119-B1,0.0,1.0
JP-S4733396-Y1,0.0,1.0
JP-S497782-Y1,0.0,1.0
JP-S4714104-Y1,0.0,1.0
JP-S4719370-Y1,0.0,1.0
JP-S4940266-Y1,0.0,1.0
JP-S4824986-Y1,0.0,1.0
JP-S499395-B1,0.0,1.0
JP-S498103-B1,0.0,1.0
JP-S516931-B1,0.0,1.0
JP-S4827644-B1,0.0,1.0
JP-S4721298-Y1,0.0,1.0
JP-S4922506-Y1,0.0,1.0
JP-S4844050-B1,0.0,1.0
JP-S4940865-Y1,0.0,1.0
JP-S4726434-Y1,0.0,1.0
JP-S4724054-Y1,0.0,1.0
JP-S4928570-Y1,0.0,1.0
JP-S5035676-B1,0.0,1.0
JP-S4921919-B1,0.0,1.0
JP-S4930517-Y1,0.0,1.0
JP-S4735048-Y1,0.0,1.0
JP-S5029082-Y1,0.0,1.0
JP-S4941558-B1,0.0,1.0
JP-S499578-Y1,0.0,1.0
JP-S4816765-B1,0.0,1.0
JP-S49372-B1,0.0,1.0
JP-S5027239-B1,0.0,1.0
JP-S4919740-B1,0.0,1.0
JP-S5020528-B1,0.0,1.0
JP-S5014497-B1,0.0,1.0
JP-S4930194-B1,0.0,1.0
JP-S4732167-Y1,0.0,1.0
JP-S5026963-Y1,0.0,1.0
JP-S4812714-B1,0.0,1.0
JP-S456151-Y1,0.0,1.0
JP-S4823739-Y1,0.0,1.0
JP-S553721-B1,0.0,1.0
JP-S504323-Y1,0.0,1.0
JP-S4837873-B1,0.0,1.0
JP-S497297-B1,0.0,1.0
JP-S5120705-B1,0.0,1.0
JP-S5112978-Y1,0.0,1.0
JP-S5028469-Y1,0.0,1.0
JP-S459479-Y1,0.0,1.0
JP-S4928227-Y1,0.0,1.0
JP-S4424467-Y1,0.0,1.0
JP-S4831588-Y1,0.017961693858479788,0.9820383061415202
JP-S479868-Y1,0.017961693858479788,0.9820383061415202
JP-S4833498-Y1,0.017961693858479788,0.9820383061415202
JP-S5142534-B1,0.017961693858479788,0.9820383061415202
JP-S4824009-Y1,0.017961693858479788,0.9820383061415202
JP-S4628467-Y1,0.017961693858479788,0.9820383061415202
JP-S5125496-B1,0.017961693858479788,0.9820383061415202
JP-S4710946-Y1,0.017961693858479788,0.9820383061415202
JP-S4831575-B1,0.017961693858479788,0.9820383061415202
JP-S467470-Y1,0.017961693858479788,0.9820383061415202
JP-S4935678-B1,0.017961693858479788,0.9820383061415202
JP-S513419-Y1,0.017961693858479788,0.9820383061415202
JP-S4424465-Y1,0.017961693858479788,0.9820383061415202
JP-S4825593-Y1,0.017961693858479788,0.9820383061415202
